sector,sector_id,year,LP,K,NET,LH
電子部品・デバイス,12,2000,1129.282687,274.8,482.9946661,139734.72
電気機械,13,2000,3243.722646,1970.9,660.7531346,156027.52
情報・通信機器,14,2000,2042.439719,194.4,738.8451189,74371.84
輸送用機械,15,2000,6247.604509,417.6,388.7719991,212508.65
その他の製造品,16,2000,1939.779732,646.3,699.6214184,442730.68
電気・ガス・水道・廃棄物処理業,17,2000,16658.45311,176.1,637.612409,108235.74
建設業,18,2000,2855.977212,276.9,834.100353,1304611.25
卸売・小売業,19,2000,3505.214922,2181.4,1214.544297,1964661.27
運輸・郵便業,20,2000,3502.723391,813.4,712.853425,755954.64
宿泊・飲食サービス業,21,2000,2646.838474,411.1,935.6325529,663757.92
情報通信業,22,2000,7442.831629,3990.2,715.2537995,274137.6
金融・保険業,23,2000,7125.916039,3532.7,1359.252584,321053.46
不動産業,24,2000,26739.96934,216.4,2162.404848,202048.1
専門・科学技術、業務支援サービス業,25,2000,2770.46424,1317,1425.755849,925862.88
公務,26,2000,6450.360097,1021.4,1584.345173,391894.4
教育,27,2000,5247.723662,289.1,1267.469189,330625.26
保健衛生・社会事業,28,2000,3383.229218,1262.6,1032.729663,778250.55
その他のサービス,29,2000,2743.150169,464.4,1035.294768,1018041.24
農林水産業,1,2001,1084.487377,276.8,716.9289362,682783.42
鉱業,2,2001,8367.565637,8.7,1134.350129,13437.6
食料品,3,2001,4888.12304,295.2,668.8572053,299798.1
繊維製品,4,2001,1382.618897,115.3,691.9757028,186638.56
パルプ・紙・紙加工品,5,2001,4686.94505,47.4,663.7962478,59915.36
化学,6,2001,10981.72125,778.3,481.3344237,78101.6
石油・石炭製品,7,2001,113863.9647,142.4,126.6199192,6623.43
窯業・土石製品,8,2001,4004.903704,49,712.963653,91310.56
一次金属,9,2001,9176.87732,163.4,291.039904,91264.16
金属製品,10,2001,3204.028346,166.2,647.3783529,209817.12
はん用・生産用・業務用機械,11,2001,3876.966115,508.7,681.5080648,318241.11
電子部品・デバイス,12,2001,1005.667126,276,517.244632,134050.32
電気機械,13,2001,3131.516658,2212.6,698.2635776,147698.4
情報・通信機器,14,2001,1971.713623,188.4,780.7280135,71044.8
輸送用機械,15,2001,6168.005366,448.9,417.3723315,215787.75
その他の製造品,16,2001,1854.821996,699.7,750.3872074,425911.49
電気・ガス・水道・廃棄物処理業,17,2001,17124.04301,189.5,681.7362927,108134.51
建設業,18,2001,2864.092445,297.9,888.0467682,1257340.7
卸売・小売業,19,2001,3650.407847,2296.5,1299.252741,1949609.55
運輸・郵便業,20,2001,3592.350979,873.4,764.5527018,741472.65
宿泊・飲食サービス業,21,2001,2634.786747,463.9,994.4663706,663317.44
情報通信業,22,2001,7913.797299,4240.6,752.3700079,279164.34
金融・保険業,23,2001,7281.218139,3937.2,1431.235909,306819.54
不動産業,24,2001,27350.59116,223,2390.171994,200041.38
専門・科学技術、業務支援サービス業,25,2001,2850.809937,1358.6,1522.985453,941023.8
公務,26,2001,6609.616268,1156.7,1713.038922,386961.95
教育,27,2001,5395.206936,310.7,1366.699872,322936.64
保健衛生・社会事業,28,2001,3370.052513,1325.7,1110.267181,813209.88
その他のサービス,29,2001,2621.715805,465.7,1110.525422,1020209.74
農林水産業,1,2002,1191.625034,275.8,767.7071049,658218.8
鉱業,2,2002,8133.161993,9,1217.444604,12746.58
食料品,3,2002,4823.485987,316.3,705.9446556,299447.33
繊維製品,4,2002,1405.404066,119.7,740.2983714,166251.12
パルプ・紙・紙加工品,5,2002,4462.925343,50.5,707.1479064,58282.4
化学,6,2002,11903.16239,842.3,514.0297937,74799.45
石油・石炭製品,7,2002,108812.226,155.9,134.8029627,6213.64
窯業・土石製品,8,2002,4236.908736,51.7,760.6662559,81082.7
一次金属,9,2002,8442.26653,170.4,310.1305611,88953.6
金属製品,10,2002,3092.239464,175.2,689.4378775,202759.2
はん用・生産用・業務用機械,11,2002,3698.162533,564.5,727.4986592,304789.2
電子部品・デバイス,12,2002,1177.615642,289.2,552.8966125,132292.74
電気機械,13,2002,3371.8994,2404.3,743.2442307,127939.76
情報・通信機器,14,2002,2184.832509,191.6,831.7581194,67565.82
輸送用機械,15,2002,6597.38959,482.1,445.8080626,224056.8
その他の製造品,16,2002,1898.989096,736.9,801.9529017,406384.64
電気・ガス・水道・廃棄物処理業,17,2002,17206.76634,202.8,730.0482429,107384.5
建設業,18,2002,2760.373084,326.6,946.3840971,1244980.26
卸売・小売業,19,2002,3726.012795,2439.1,1394.436294,1937698.66
運輸・郵便業,20,2002,3640.300657,912.5,820.880801,740532.24
宿泊・飲食サービス業,21,2002,2831.946438,505,1059.311649,606582.8
情報通信業,22,2002,8236.368474,4567.9,800.226798,279915.84
金融・保険業,23,2002,7162.152879,4283.6,1529.783344,310501.61
不動産業,24,2002,28274.19172,226.7,2595.329348,195883.23
専門・科学技術、業務支援サービス業,25,2002,2935.317307,1445.4,1636.395999,945015.38
公務,26,2002,6794.406516,1194.4,1844.63084,378983.8
教育,27,2002,5577.310234,359.6,1468.66883,315564.3
保健衛生・社会事業,28,2002,3324.621871,1393.6,1189.505567,834004.62
その他のサービス,29,2002,2717.974862,482.1,1188.806527,1003217.52
農林水産業,1,2003,1085.259987,265.4,815.8199218,651853.02
鉱業,2,2003,8461.627097,9,1295.674392,11976.42
食料品,3,2003,4804.892215,332.7,737.4883286,302599.92
繊維製品,4,2003,1493.755325,122.9,785.7304951,150526.66
パルプ・紙・紙加工品,5,2003,4525.292163,53,746.6890301,56939.97
化学,6,2003,12313.06872,888.9,541.9006761,74152.92
石油・石炭製品,7,2003,99045.32416,165.6,142.0468467,5992.61
窯業・土石製品,8,2003,4256.766644,54,802.405904,81049.78
一次金属,9,2003,8820.813377,175.9,328.3674901,89024.67
金属製品,10,2003,3169.058756,182.5,727.8550326,199892.16
はん用・生産用・業務用機械,11,2003,3925.841646,627.9,768.2467026,305244.1
電子部品・デバイス,12,2003,1533.861342,304.5,582.9803757,131967.6
電気機械,13,2003,3700.590076,2549.1,783.5723088,127503.99
情報・通信機器,14,2003,2909.705607,197.3,876.5757147,65013.45
輸送用機械,15,2003,6276.362533,510.3,470.4601131,231412.7
その他の製造品,16,2003,1955.990544,758.8,848.0637222,407195.22
電気・ガス・水道・廃棄物処理業,17,2003,17201.83615,214.6,772.2752502,107076.36
建設業,18,2003,2649.965659,356.7,996.5612239,1238646.24
卸売・小売業,19,2003,3691.738924,2592.9,1472.473336,1964645.97
運輸・郵便業,20,2003,3567.928175,933.9,871.2291189,771994.24
宿泊・飲食サービス業,21,2003,2921.700236,530.7,1119.731526,566074.5
情報通信業,22,2003,8309.92486,4826.5,833.891301,285932.79
